Group,Name,CourseNumber,StartDate,Days,Time,Period,Credits,Campus,Fee,Teacher,Detail
Educational Therapy,ECE: Brain Development in Early Childhood,ECED.X310.(2),10/22/2018,Mon,05:30 PM,2018.10.22-2018.11.05,1.0,SANTA CLARA,$295,Melissa Chi Le,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5648003&SectionID=6212321
Educational Therapy,Principles of Educational Therapy,EDTH.X300.(3),9/8/2018,Sat,09:00 AM,2018.09.08-2018.10.06,3.0,SANTA CLARA,$590,Deborah A Crim,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5648159&SectionID=6212121
TESOL,"Instructional Design and Delivery, Introduction",INDE.X400.(801),9/10/2018,Mon,NA,2018.09.10-2018.10.07,1.0,ONLINE,$460,Alan Tsuda,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=6225707&SectionID=6225743
TESOL,TESOL Practicum,TESL.X390.(3),9/6/2018,Thu,06:00 PM,2018.09.06-2018.12.06,5.0,SANTA CLARA,$810,Rebecca Lee Lovin,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5648777&SectionID=6212679
TESOL,"Teaching Grammar, Level II",TESL.X309.(3),10/23/2018,Tue,06:00 PM,2018.10.23-2018.11.27,2.0,SANTA CLARA,$395,Frauke Uhlenbruch,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5648837&SectionID=6212629
TESOL,"Instructional Design and Delivery, Introduction",INDE.X400.(801),9/10/2018,Mon,NA,2018.09.10-2018.10.07,1.0,ONLINE,$460,Alan Tsuda,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=6225707&SectionID=6225743
TESOL,Culture and Cultural Diversity,TESL.X300.(2),8/4/2018,Sat,09:00 AM,2018.08.04-2018.08.25,4.0,SANTA CLARA,$780,Madeleine J Adkins,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5715693&SectionID=6120975
TESOL,Methodology of Bilingual and English Language Development,TESL.X301.(3),9/22/2018,Sat,09:00 AM,2018.09.22-2018.11.17,4.0,SANTA CLARA,$780,James S Dinwiddie,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5648649&SectionID=6212527
TESOL,First and Second Language Development,TESL.X303.(3),9/20/2018,Thu,06:00 PM,2018.09.20-2018.11.15,3.0,SANTA CLARA,$590,Rebecca Lee Lovin,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5648703&SectionID=6212575
Computer Programming,Computer Programming Info Session,INFO.CMPR.(01),8/14/2018,Tue,06:30 PM,2018.08.14-2018.08.14,,SANTA CLARA,$0,,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=6274409&SectionID=6308977
Computer Programming,"Go Programming, Fundamentals",CMPR.X418.(2),9/11/2018,Tue,06:30 PM,2018.09.11-2018.11.13,3.0,SANTA CLARA,$580,Suleman Saya,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5927839&SectionID=6217943
Computer Programming,"Computational Intelligence, Introduction",CMPR.X405.(2),8/8/2018,Wed,06:30 PM,2018.08.08-2018.09.05,1.5,SANTA CLARA,$730,Thomas P Poliquin,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5592375&SectionID=6138199
Computer Programming,"Developing Applications for iPhone and iPad, Introduction",CMPR.X410.(5),9/10/2018,Mon,06:30 PM,2018.09.10-2018.11.26,3.0,SANTA CLARA,$880,Bess Ho,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5601489&SectionID=6222901
Computer Programming,"Java Programming, Comprehensive",CMPR.X413.(10),9/5/2018,Wed,06:30 PM,2018.09.05-2018.11.07,3.0,SANTA CLARA,$1020,Bineet Sharma,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590711&SectionID=6217441
Computer Programming,"Java Programming, Comprehensive",CMPR.X413.(808),11/13/2018,Tue,NA,2018.11.13-2019.02.12,3.0,ONLINE,$1020,Radhika S Grover,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590711&SectionID=6223421
Computer Programming,"Java Programming, Comprehensive",CMPR.X413.(807),9/18/2018,Tue,NA,2018.09.18-2018.12.18,3.0,ONLINE,$1020,Radhika S Grover,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590711&SectionID=6219831
Computer Programming,"Java Programming, Comprehensive",CMPR.X413.(806),8/3/2018,Fri,NA,2018.08.03-2018.11.02,3.0,ONLINE,$1020,Radhika S Grover,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590711&SectionID=6140911
Computer Programming,"C# .NET Programming, Comprehensive",CMPR.X403.(5),9/11/2018,Tue,06:30 PM,2018.09.11-2018.11.06,3.0,SANTA CLARA,$910,Taral Oza,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591239&SectionID=6216979
Computer Programming,"C# .NET Programming, Comprehensive",CMPR.X403.(809),8/3/2018,Fri,NA,2018.08.03-2018.11.02,3.0,ONLINE,$910,Taral Oza,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591239&SectionID=6141183
Computer Programming,Object-Oriented Analysis and Design,SEQA.X401.(7),10/1/2018,Mon,06:30 PM,2018.10.01-2018.11.26,3.0,SANTA CLARA,$980,Edwin Mach,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5593949&SectionID=6222273
Computer Programming,Object-Oriented Analysis and Design,SEQA.X401.(803),8/3/2018,Fri,NA,2018.08.03-2018.11.02,3.0,ONLINE,$980,Edwin Mach,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5593949&SectionID=6141267
Computer Programming,Data Structures and Algorithms Using C++,CMPR.X406.(2),9/22/2018,Sat,09:00 AM,2018.09.22-2018.12.01,3.0,SANTA CLARA,$980,Jagadeesh Vasudevamurthy,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5599863&SectionID=6217115
Computer Programming,Java Programming for Beginners,CMPR.X412.(11),9/24/2018,Mon,06:30 PM,2018.09.24-2018.11.19,2.0,SANTA CLARA,$625,Bineet Sharma,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590647&SectionID=6217331
Computer Programming,Java Programming for Beginners,CMPR.X412.(809),11/13/2018,Tue,NA,2018.11.13-2019.02.12,2.0,ONLINE,$625,Bineet Sharma,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590647&SectionID=6223367
Computer Programming,Java Programming for Beginners,CMPR.X412.(808),9/18/2018,Tue,NA,2018.09.18-2018.12.18,2.0,ONLINE,$625,Bineet Sharma,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590647&SectionID=6219789
Computer Programming,Java Programming for Beginners,CMPR.X412.(806),8/3/2018,Fri,NA,2018.08.03-2018.11.02,2.0,ONLINE,$625,Bineet Sharma,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590647&SectionID=6140769
Computer Programming,XML Essentials,CMPR.X417.(816),9/18/2018,Tue,NA,2018.09.18-2018.12.18,2.0,ONLINE,$625,Ahmad Nouri,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590987&SectionID=6219983
Computer Programming,XML Essentials,CMPR.X417.(815),8/3/2018,Fri,NA,2018.08.03-2018.11.02,2.0,ONLINE,$625,Ahmad Nouri,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590987&SectionID=6140997
Computer Programming,JUnit Test Framework,SEQA.X400.(5),9/14/2018,Fri,06:30 PM,2018.09.14-2018.10.12,1.5,SANTA CLARA,$650,Ahmad Nouri,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5594113&SectionID=6219021
Computer Programming,"C# .NET Programming, Advanced",CMPR.X402.(803),9/18/2018,Tue,NA,2018.09.18-2018.12.18,3.0,ONLINE,$910,Taral Oza,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591255&SectionID=6219669
Computer Programming,"Developing Applications for iPhone and iPad, Advanced",CMPR.X411.(2),9/11/2018,Tue,06:30 PM,2018.09.11-2018.11.27,3.0,SANTA CLARA,$980,Bess Ho,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591471&SectionID=6222979
Computer Programming,Developing Applications for Android Mobile Devices,CMPR.X408.(5),9/7/2018,Fri,06:30 PM,2018.09.07-2018.10.19,2.0,SANTA CLARA,$730,Taral Oza,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591389&SectionID=6217195
Computer Programming,"Developing Applications for Android Mobile Devices, Advanced",CMPR.X409.(3),10/27/2018,Sat,09:00 AM,2018.10.27-2018.12.15,2.0,SANTA CLARA,$780,Taral Oza,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5592275&SectionID=6217265
